# NIST ASTAR: alpha-particle stopping power and range in CARBON DIOXIDE (matno=134), retrieved 2026-09-07
# Source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
# T[MeV]  STOP(e)[MeV cm2/g]  STOP(n)[MeV cm2/g]  STOP(t)[MeV cm2/g]  RANGE(csda)[g/cm2]  RANGE(proj)[g/cm2]  DETOUR
3.000E-01  1.571E+03  5.737E+00  1.577E+03  3.319E-04  2.992E-04  0.9014
5.000E-01  1.891E+03  3.768E+00  1.894E+03  4.460E-04  4.124E-04  0.9246
1.000E+00  1.888E+03  2.104E+00  1.890E+03  7.023E-04  6.677E-04  0.9507
2.000E+00  1.383E+03  1.161E+00  1.384E+03  1.323E-03  1.287E-03  0.9730
3.000E+00  1.077E+03  8.164E-01  1.078E+03  2.149E-03  2.112E-03  0.9829
4.000E+00  8.900E+02  6.348E-01  8.906E+02  3.176E-03  3.138E-03  0.9881
5.000E+00  7.640E+02  5.217E-01  7.645E+02  4.392E-03  4.353E-03  0.9911
5.500E+00  7.149E+02  4.796E-01  7.154E+02  5.068E-03  5.029E-03  0.9922
6.000E+00  6.726E+02  4.441E-01  6.731E+02  5.789E-03  5.749E-03  0.9931
