# NIST ASTAR: alpha-particle stopping power and range in HELIUM (matno=002), retrieved 2026-09-07
# Source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
# T[MeV]  STOP(e)[MeV cm2/g]  STOP(n)[MeV cm2/g]  STOP(t)[MeV cm2/g]  RANGE(csda)[g/cm2]  RANGE(proj)[g/cm2]  DETOUR
3.000E-01  2.233E+03  6.810E+00  2.240E+03  2.433E-04  2.340E-04  0.9617
5.000E-01  2.588E+03  4.409E+00  2.593E+03  3.251E-04  3.156E-04  0.9709
1.000E+00  2.507E+03  2.422E+00  2.510E+03  5.165E-04  5.069E-04  0.9813
2.000E+00  1.832E+03  1.319E+00  1.834E+03  9.850E-04  9.751E-04  0.9900
3.000E+00  1.402E+03  9.206E-01  1.403E+03  1.613E-03  1.603E-03  0.9938
4.000E+00  1.130E+03  7.123E-01  1.130E+03  2.412E-03  2.402E-03  0.9958
5.000E+00  9.538E+02  5.831E-01  9.544E+02  3.379E-03  3.369E-03  0.9969
5.500E+00  8.868E+02  5.352E-01  8.873E+02  3.923E-03  3.912E-03  0.9973
6.000E+00  8.295E+02  4.948E-01  8.300E+02  4.506E-03  4.495E-03  0.9976
